cloud,tree_id,dbh_method,volume_method,dbh_cm,height_m,cbc_rel_m,cbc_abs_m,volume_m3,mass_kg,commercial_volume_m3,commercial_mass_kg,status,n_trunk_pts,n_commercial_pts
talhao_62_25x25_round2_crop_100,0,ensemble,cylinder,,1.7044999599456787,1.4147349667549134,3.708234913349152,,,,,error: dbh_cm or CBC is missing for cylinder volume,86,84
talhao_62_25x25_round2_crop_100,0,ensemble,voxel,,1.7044999599456787,1.4147349667549134,3.708234913349152,0.010625000000000002,9.562500000000002,0.010375000000000002,9.337500000000002,ok,86,84
talhao_62_25x25_round2_crop_100,0,ensemble,taper,,1.7044999599456787,1.4147349667549134,3.708234913349152,27738.487836331824,24964639.052698642,7.78016221668683,7002.145995018147,ok,86,84
talhao_62_25x25_round2_crop_100,0,ensemble,frustum,,1.7044999599456787,1.4147349667549134,3.708234913349152,2.1052285199212264,1894.7056679291038,1.4065921213920536,1265.9329092528483,ok,86,84
talhao_62_25x25_round2_crop_100,0,ensemble,axis_profile,,1.7044999599456787,1.4147349667549134,3.708234913349152,0.5260211607151408,473.41904464362676,0.7347434891907467,661.2691402716721,ok,86,84
talhao_62_25x25_round2_crop_100,0,single_ransac,cylinder,,1.7044999599456787,1.4147349667549134,3.708234913349152,,,,,error: dbh_cm or CBC is missing for cylinder volume,86,84
talhao_62_25x25_round2_crop_100,0,single_ransac,voxel,,1.7044999599456787,1.4147349667549134,3.708234913349152,0.010625000000000002,9.562500000000002,0.010375000000000002,9.337500000000002,ok,86,84
talhao_62_25x25_round2_crop_100,0,single_ransac,taper,,1.7044999599456787,1.4147349667549134,3.708234913349152,24378.292851095437,21940463.565985892,2.262584865813275,2036.3263792319474,ok,86,84
talhao_62_25x25_round2_crop_100,0,single_ransac,frustum,,1.7044999599456787,1.4147349667549134,3.708234913349152,2.105228519921229,1894.705667929106,2.701157136955334,2431.0414232598005,ok,86,84
talhao_62_25x25_round2_crop_100,0,single_ransac,axis_profile,,1.7044999599456787,1.4147349667549134,3.708234913349152,0.5260211607151408,473.41904464362676,0.7347434891907467,661.2691402716721,ok,86,84
talhao_62_25x25_round2_crop_100,0,ls,cylinder,20.356872713439135,1.7044999599456787,1.4147349667549134,3.708234913349152,0.05547649300268299,49.92884370241469,0.04604548919222688,41.440940273004195,ok,86,84
talhao_62_25x25_round2_crop_100,0,ls,voxel,20.356872713439135,1.7044999599456787,1.4147349667549134,3.708234913349152,0.010625000000000002,9.562500000000002,0.010375000000000002,9.337500000000002,ok,86,84
talhao_62_25x25_round2_crop_100,0,ls,taper,20.356872713439135,1.7044999599456787,1.4147349667549134,3.708234913349152,27484.074751266693,24735667.276140023,1.6790586360192494,1511.1527724173245,ok,86,84
talhao_62_25x25_round2_crop_100,0,ls,frustum,20.356872713439135,1.7044999599456787,1.4147349667549134,3.708234913349152,2.105228519921251,1894.7056679291256,3.547414750111711,3192.6732751005397,ok,86,84
talhao_62_25x25_round2_crop_100,0,ls,axis_profile,20.356872713439135,1.7044999599456787,1.4147349667549134,3.708234913349152,0.5260211607151408,473.41904464362676,0.7347434891907467,661.2691402716721,ok,86,84
talhao_62_25x25_round2_crop_100,1,ensemble,cylinder,,19.284400463104248,19.284400463104248,20.837400436401367,,,,,error: dbh_cm or CBC is missing for cylinder volume,285,285
talhao_62_25x25_round2_crop_100,1,ensemble,voxel,,19.284400463104248,19.284400463104248,20.837400436401367,0.03487500000000001,31.38750000000001,0.03487500000000001,31.38750000000001,ok,285,285
talhao_62_25x25_round2_crop_100,1,ensemble,taper,,19.284400463104248,19.284400463104248,20.837400436401367,,,,,error: Insuficientes amostras de raio para o método taper.,285,285
