cloud,tree_id,method,dbh_cm,status,n_values
diego_talhao_62fixedname_round2_crop_25,116,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,116,ls,19.429520365581386,ok,0
diego_talhao_62fixedname_round2_crop_25,117,ensemble,59.775917399747236,ok,2
diego_talhao_62fixedname_round2_crop_25,117,single_ransac,59.77591739975229,ok,0
diego_talhao_62fixedname_round2_crop_25,117,ls,114.48646617332705,ok,0
diego_talhao_62fixedname_round2_crop_25,120,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,120,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,120,ls,28.227036460519866,ok,0
diego_talhao_62fixedname_round2_crop_25,122,ensemble,65.635671321844,ok,4
diego_talhao_62fixedname_round2_crop_25,122,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,122,ls,62.076486730108115,ok,0
diego_talhao_62fixedname_round2_crop_25,125,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,125,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,125,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,126,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,126,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,126,ls,21.438224818104725,ok,0
diego_talhao_62fixedname_round2_crop_25,129,ensemble,25.054335664538396,ok,1
diego_talhao_62fixedname_round2_crop_25,129,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,129,ls,13.31853473783869,ok,0
diego_talhao_62fixedname_round2_crop_25,151,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,151,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,151,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,152,ensemble,47.40817534718494,ok,2
diego_talhao_62fixedname_round2_crop_25,152,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,152,ls,27.81395337160106,ok,0
diego_talhao_62fixedname_round2_crop_25,153,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,153,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,153,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,155,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,155,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,155,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,156,ensemble,,none,0
